,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,ATL,1412.0891248031717,1222.311880384217,1359.417182996473,1378.8171612792214,1467.5409578501701,1512.5731900903922,1582.407850478635,1483.7234098845922,1563.2364735582116,1483.4596401889787,1479.3094325658203,1573.401054244679,1586.1934379534212,1486.1730981315839,1365.5168243644805,1413.9526581019968,1356.5076198377296,1593.2880251681252,1538.7012230038283
1,BOS,1416.0000403639792,1510.3006824429474,1441.9950596398799,1387.739985083455,1717.6118744263053,1640.0758723134563,1659.8227269006743,1607.447695317768,1610.9122451274022,1465.743294772045,1339.9166691189444,1529.8400203024567,1553.3199353179916,1547.3940987617175,1568.1811829783944,1586.1437955445665,1674.9934746351016,1488.803605377067,1653.2102796612257
2,NOP,1479.890880834779,1327.9711670786987,1417.741916176124,1505.4537768660546,1655.506788152976,1478.7021088509118,1426.5666175360902,1498.0519499900565,1446.6876962052606,1415.3697225644426,1467.0208090840406,1527.382768126714,1374.2706735432278,1490.343029024836,1590.853487070708,1396.3559210143453,1546.4785760483312,1483.6046977535116,1515.1129327750384
3,CHI,1324.721769305811,1522.8393341267038,1537.5215117216244,1624.7185326009917,1442.370488480692,1540.6659119692326,1493.4547491272663,1673.5161762015389,1625.5006487510852,1508.4309986749258,1567.6466948096202,1580.125627707089,1439.5441668552417,1504.5409391210856,1331.2766891991193,1312.6992483329063,1358.2801097239653,1491.5402716544809,1532.010562803032
4,DAL,1604.6290723687248,1666.265783766279,1677.816662883557,1631.1471910863434,1580.1793151185564,1596.0167766527993,1593.8580246625725,1732.3667639862758,1519.1792028774344,1536.3175697891597,1602.8106130176157,1555.7067064191515,1494.0857429824246,1417.895371473094,1369.8612926054934,1445.7363988296797,1539.6646084494794,1544.4238031341415,1604.0614540150848
5,DEN,1551.011429812516,1592.363389818192,1472.428202075727,1562.8005619266507,1576.9443810031464,1645.5306001833715,1591.6265965989019,1606.9682832619405,1595.676811279558,1653.5084175866411,1465.0258905069309,1433.472889306511,1436.8123732798817,1577.2522277625167,1567.229011936627,1606.0265477976284,1564.2516505357544,1585.477439205437,1571.2256121175644
6,HOU,1508.766489500674,1655.7332340333169,1466.3609335166207,1572.769024629226,1635.849839211948,1651.3100622592292,1497.7505952959575,1579.5493779995159,1496.0483956758276,1573.3938602612225,1619.8198720947619,1652.0411262157702,1534.0658421818343,1603.4383885146765,1681.6160212676123,1696.9670309375774,1563.0668276260883,1313.0898626552403,1306.3846991166042
7,LAC,1339.4556015698313,1462.8119038791401,1586.8855361437913,1532.9308344873928,1321.4790333066433,1276.2165725731172,1333.2212318596316,1429.9985689244052,1566.9153666514555,1601.6158697720086,1666.4386375776571,1671.9825130073004,1601.4638972714652,1620.4374064952856,1508.0056596057761,1528.687873714267,1622.6851501273388,1668.2773442296002,1485.768593779247
8,LAL,1648.1926493591857,1397.1410955835038,1564.211087089255,1464.4338321232428,1687.1065111813948,1770.4208382851805,1642.8990490401475,1612.276535203109,1553.867288995783,1510.9381852990862,1403.4411686097294,1301.232648958101,1299.9059431127487,1374.692952835931,1493.2889761216359,1455.5848676885312,1687.7391239655444,1538.9679803584745,1428.9212353440732
9,MIA,1565.923603577527,1668.9677302823552,1668.2831604793294,1475.843974319177,1267.1286575127294,1520.369368373306,1548.9905552146422,1694.6514073071414,1710.7611067491043,1731.4621668773204,1579.1699355952746,1461.0564723867926,1590.6538070148854,1577.5638120975843,1506.2504824014436,1504.261665708547,1622.9588129101098,1509.0314959613268,1623.2124421999179
10,MIL,1474.3043146190525,1383.6897365993916,1486.8708051764174,1352.1875277614056,1293.734346073428,1445.7122336002494,1558.068897440531,1486.4709096698132,1494.784868667267,1420.3586768420241,1265.619739361548,1458.0205862242979,1410.2689896584977,1497.0952803259322,1509.7939396515646,1691.8996413891173,1616.3775679268422,1694.7526707887364,1593.605587310337
11,MIN,1637.7583849024861,1563.5806060431682,1406.8366194881155,1366.3082839153328,1372.8537824806422,1353.460211456701,1295.6213405554743,1298.5990464449783,1386.9125070873881,1463.6513384193886,1528.9001550099383,1283.7028485408484,1423.8934504203917,1457.9686961724728,1550.2741098279575,1444.8144338065028,1369.667035786313,1432.0037484962995,1590.9164534918916
12,BKN,1564.268971663029,1540.0878512202867,1555.343033111733,1549.3567343578477,1404.6338870355323,1446.9538347945288,1323.0475235729232,1312.1038963747005,1339.9019276309775,1548.558250485792,1521.0519526629266,1471.635285631624,1295.0611008642784,1366.092097222139,1407.568202052329,1492.4975288845317,1474.722796251836,1649.0790855335329,1479.019401818905
13,NYK,1433.1905258728104,1427.0843148373713,1328.9264107758613,1393.3516610774238,1321.1156277588245,1419.595546251172,1388.4604551350608,1485.974111813524,1535.2782945470822,1590.511680665153,1538.7225765272653,1268.2667550700328,1399.316913329023,1383.3498436776965,1391.0959878767896,1274.4650934954284,1362.0743266919387,1561.4134904246885,1489.060797362562
14,ORL,1305.1949725586087,1375.4138228212605,1518.9910796979577,1502.5661435982133,1622.0865210181723,1667.8017514760318,1736.6469423511405,1606.9940777095635,1463.3023045772331,1271.8094603298448,1330.6716672638713,1332.4670448950942,1443.392035590444,1357.1776492616134,1359.2120773218767,1542.406728211548,1483.382771680175,1289.4440852078872,1386.319519020509
15,IND,1649.9092102325628,1540.075901089792,1503.58695864585,1404.077998782992,1477.157418364418,1500.3239016706439,1507.4370164303423,1455.8084029168167,1586.8997716494084,1594.0802207378756,1530.5026604091172,1522.8826066376516,1558.1911393991875,1508.1251229882691,1571.3205121388526,1514.6969193887867,1530.457151327103,1480.2470452850698,1413.6426197312467
16,PHI,1409.3815869745374,1500.9065954923553,1447.4163227643623,1475.8429730967366,1515.3602397021766,1473.8943636576425,1390.612785902967,1513.932944982908,1533.4097751610723,1441.521312803499,1263.3155151054964,1293.1331613373525,1229.2667668462589,1350.5923680473577,1643.6506372158535,1597.7267632594207,1532.6285085483128,1641.8203211362038,1574.5615116627534
17,PHX,1439.5734497914832,1685.751060080463,1619.1165350484428,1669.390579968717,1638.3839275297091,1527.8876989985752,1683.9272189063222,1488.1631950436458,1534.5573650604467,1361.9645894001987,1575.2607645360376,1461.876339838566,1352.9071153824032,1353.969219980157,1284.178346844404,1301.5627395096124,1597.648506711015,1679.4568956515623,1687.254655125072
18,POR,1514.5270435141135,1375.3478103081059,1252.936109186596,1396.7423994574756,1465.0699011299916,1640.4999359033407,1570.3118931099712,1553.9946637136372,1435.7927798235496,1407.3438502626507,1577.8868869758892,1536.8826540890095,1605.1726524891696,1540.4280491321883,1574.7191631832868,1615.1642689685225,1498.5054773178895,1592.715777877303,1383.9017269508083
19,SAC,1599.2195909830414,1545.0947173938764,1575.9763631848184,1417.4774754641621,1471.2014387013744,1283.6965668700423,1323.446898062389,1411.7634866287003,1412.3300058455698,1425.974675351565,1417.0746013749047,1409.4683352559964,1430.1957259605422,1409.533432116771,1380.1302698190966,1459.6222767458578,1500.5259875013369,1445.7766992370923,1373.0135419166654
20,SAS,1691.7286079057644,1685.1333527125735,1669.1639208407412,1721.1164533735691,1666.477402809358,1586.646959749725,1604.5542732190454,1596.8736382419604,1728.209830122827,1704.951494767848,1759.4745310443527,1709.019814061063,1730.7488759803514,1646.6092874272322,1545.099389697015,1558.7592105438712,1522.6871349873104,1466.118938327139,1455.555302321925
21,OKC,1505.0964745280608,1545.3579667272595,1484.021617822075,1427.0546079806466,1313.6159822909376,1367.8063747884798,1585.159379880818,1656.2950369042237,1705.1465900875485,1681.4563703909407,1645.0850982430566,1576.652891871603,1732.8410174790388,1515.6100886721606,1596.9650070321286,1565.3716399716645,1557.9652906027536,1260.9954770872523,1336.3943550174524
22,TOR,1396.5132762387573,1428.8987621283145,1400.4054761339019,1522.1865028608026,1487.0586192323565,1444.5606501183183,1438.5652636147486,1313.1181287327652,1427.9838525541686,1481.1767962171634,1568.4659866936324,1486.264035289228,1599.3821120044859,1531.1821041195262,1587.919501085477,1719.3873170946272,1678.3933302103176,1436.7791563622093,1543.0229737789687
23,UTA,1487.9529893263016,1370.3893777104824,1481.7275754976079,1605.8259535545112,1670.6668125501596,1552.1527696275791,1588.101512677776,1428.631207780181,1533.979435583027,1535.863229376827,1330.4578036021749,1561.5094351096054,1538.5186942221433,1596.3443812477128,1652.4012721462866,1620.301044303304,1545.271250191247,1637.1209194856963,1592.2529217763124
24,MEM,1553.8973240019998,1528.2602242346918,1572.3878134016898,1389.8559740462997,1335.8020122134942,1382.943387937465,1446.0581597555745,1607.2227538903385,1599.24395957447,1645.467475296731,1588.0509009368634,1611.43296047283,1423.9961681496738,1495.5860897462485,1319.2763854037175,1446.201763913916,1528.8896870846945,1541.554745289098,1625.7492368459798
25,WAS,1341.7747842123097,1468.6291332306255,1538.6187183619743,1429.1650502062653,1502.0262013021681,1317.9757742035597,1366.688793030614,1342.5473123840345,1441.0530968140993,1453.899659587912,1561.848879678623,1533.0098124768301,1538.0822944223767,1567.3092863278207,1500.5825229633733,1419.1496368082894,1373.554100553122,1492.5687627247964,1402.7808517773497
26,DET,1709.5800083625975,1689.2443247984597,1622.2632276929944,1637.0021132280626,1650.0872740534335,1462.2375152421444,1355.04469078331,1407.1310133887841,1417.8368804083366,1390.7446235012178,1346.9838451837363,1468.7983699098643,1501.385843776926,1424.5508487830916,1481.1705772697883,1465.449283417275,1346.6444952958477,1360.053095666743,1350.3913903286236
27,CHA,1500.0,1332.961335368333,1398.4664296353692,1458.4908005761567,1431.851029024088,1457.5969358656803,1535.8535390637578,1404.6009535821167,1170.2588904938027,1311.6225353033863,1523.2542300215082,1393.8457880219373,1545.0909468076661,1460.7514340753535,1499.6737545109497,1478.5730848600072,1387.1059895897188,1415.1092555399005,1499.7463318694904
28,CLE,1451.0337222230205,1499.3157137010776,1559.4078370229224,1627.4693587287359,1567.4389183836731,1728.6633768078866,1634.170488656742,1337.8633481803663,1309.213760869761,1334.8177036107534,1460.625104556291,1679.7800411035385,1749.3851329551392,1671.9965852954876,1574.3373929716822,1316.0823668749888,1345.070766948168,1315.1840190550095,1511.8613127979197
29,GSW,1484.4141005932643,1525.5711921067584,1450.5008937881883,1604.5952835628898,1544.1998746015013,1422.113206304238,1420.9281537922243,1503.3391205327862,1390.1019303149824,1592.7236279215024,1617.7003506259505,1798.7741370836447,1727.8357519452677,1812.4332215597476,1735.8786312342468,1677.4477317311575,1360.298481570972,1540.1737433036415,1601.494817762561
